settingsFile;InputVideo; Frame#; GaussMean;GaussStdDev;GaussMixProp;Goodness-Of-Fit Value;kalmanGaussMean;kalmanGaussStdDev;kalmanGaussMixProp;Rain Intensity;Kalman Rain Intensity







D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid1.avi/testVid1.avi_Settings.txt;testVid1.avi; 7; 13.272790;7.938990;0.238525;0.140026;0.000000;0.000000;0.000000;6139.579677;0.000000
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid1.avi/testVid1.avi_Settings.txt;testVid1.avi; 8; 12.894644;9.505750;0.171056;0.214963;0.000000;0.000000;0.000000;6169.322501;0.000000
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid1.avi/testVid1.avi_Settings.txt;testVid1.avi; 9; 10.209059;7.980594;0.200643;0.138737;0.000000;0.000000;0.000000;9016.212079;0.000000
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid1.avi/testVid1.avi_Settings.txt;testVid1.avi; 10; 157.767729;11.846195;0.084638;0.147540;0.000000;0.000000;0.000000;5417.495679;0.000000
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid1.avi/testVid1.avi_Settings.txt;testVid1.avi; 11; 10.068724;6.354733;0.171226;0.087910;0.000000;0.000000;0.000000;18563.314453;0.000000
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid1.avi/testVid1.avi_Settings.txt;testVid1.avi; 12; 10.572795;6.000885;0.157831;0.095016;0.000000;0.000000;0.000000;19720.534304;0.000000
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid1.avi/testVid1.avi_Settings.txt;testVid1.avi; 13; 10.124812;5.537242;0.105780;0.126612;0.000000;0.000000;0.000000;17157.458524;0.000000
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid1.avi/testVid1.avi_Settings.txt;testVid1.avi; 14; 5.745730;2.416877;0.065921;0.141680;0.000000;0.000000;0.000000;11167.858051;0.000000
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid1.avi/testVid1.avi_Settings.txt;testVid1.avi; 15; 5.797977;2.451809;0.067980;0.147022;0.000000;0.000000;0.000000;11214.332844;0.000000
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid1.avi/testVid1.avi_Settings.txt;testVid1.avi; 16; 179.000000;0.000000;0.084065;0.110310;0.000000;0.000000;0.000000;15232.979609;0.000000
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid1.avi/testVid1.avi_Settings.txt;testVid1.avi; 17; 6.157683;2.398676;0.089529;0.150630;0.000000;0.000000;0.000000;15383.856965;0.000000
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid1.avi/testVid1.avi_Settings.txt;testVid1.avi; 18; 9.072016;4.459474;0.131585;0.151268;0.000000;0.000000;0.000000;22524.843266;0.000000
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid1.avi/testVid1.avi_Settings.txt;testVid1.avi; 19; 9.724325;4.933144;0.142041;0.140776;0.000000;0.000000;0.000000;25005.203858;0.000000
