settingsFile;InputVideo; Frame#; GaussMean;GaussStdDev;GaussMixProp;Goodness-Of-Fit Value;kalmanGaussMean;kalmanGaussStdDev;kalmanGaussMixProp;Rain Intensity;Kalman Rain Intensity
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 31; 135.283655;13.061581;0.578227;0.085572;130.801856;16.601280;0.571926;264548.430335;261665.597626
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 32; 134.075741;13.448281;0.567579;0.087237;130.801856;16.601280;0.571926;249519.104600;251430.069429
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 33; 135.799911;11.934265;0.508364;0.085115;130.801856;16.601280;0.571926;226314.715067;254611.228262
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 34; 136.907221;10.183985;0.480721;0.093808;130.801856;16.601280;0.571926;210682.804975;250654.714390
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 35; 137.527225;9.884417;0.464099;0.085301;130.801856;16.601280;0.571926;209265.180263;257885.160731
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 36; 129.231526;12.497319;0.179763;0.096779;130.801856;16.601280;0.571926;83011.581374;264106.034848
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 37; 125.939393;19.462674;0.387392;0.025694;128.364465;18.161659;0.466190;159946.348512;192480.625972
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 38; 126.231280;17.032727;0.295769;0.064895;128.364465;18.161659;0.466190;131314.568921;206977.493707
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 39; 124.942585;19.454391;0.301464;0.070925;128.364465;18.161659;0.466190;138284.604732;213846.504789
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 40; 123.023746;23.710633;0.471402;0.026229;125.152487;21.543025;0.453968;193925.895981;186753.550437
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 41; 123.592644;22.057971;0.457345;0.028109;123.689109;22.459291;0.444265;186938.597436;181592.367919
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 42; 124.649665;20.765601;0.415689;0.028073;123.663032;22.016252;0.418776;168758.257458;170011.421476
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 43; 128.271115;16.427836;0.289410;0.067742;123.663032;22.016252;0.418776;123536.001317;178756.401498
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 44; 127.343564;20.640314;0.436437;0.026318;125.412100;21.500037;0.419384;166804.610667;160287.011006
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 45; 128.162810;20.475184;0.405376;0.029306;127.020325;21.010212;0.405186;164754.290687;164676.974749
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 46; 131.721848;20.520878;0.348792;0.038617;129.991032;20.720093;0.366522;148983.882817;156557.179077
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 47; 129.259641;21.489285;0.421493;0.028317;130.176317;21.116646;0.388600;185394.522068;170926.435150
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 48; 142.926630;17.823401;0.164168;0.053924;137.967479;19.241127;0.255903;91973.026179;143366.460258
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 49; 137.057030;20.658673;0.178338;0.054153;138.879550;19.797856;0.189272;96733.366315;102664.181833
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 50; 121.710322;25.447179;0.188192;0.052690;130.017620;22.977904;0.164614;85906.542281;75143.379160
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 51; 151.412301;3.757765;0.138822;0.086756;130.017620;22.977904;0.164614;65630.782685;77824.063143
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 52; 143.590597;7.243852;0.103893;0.062549;130.017620;22.977904;0.164614;53358.055113;84543.591960
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 53; 144.474140;7.176941;0.088389;0.046993;137.733159;14.264107;0.101355;46292.919759;53083.489648
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 54; 125.238624;19.481531;0.075490;0.049761;131.252089;16.245970;0.064547;37770.198904;32295.297604
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 55; 127.690288;21.735959;0.076169;0.049445;128.700151;19.049979;0.051659;39318.841567;26666.849200
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 56; 129.799369;24.199382;0.182859;0.064219;128.700151;19.049979;0.051659;82602.676804;23335.924523
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 57; 131.838609;23.405517;0.178038;0.061075;128.700151;19.049979;0.051659;81710.781393;23709.035576
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 58; 129.913577;23.920411;0.101527;0.060565;128.700151;19.049979;0.051659;46349.037927;23583.340309
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 59; 124.470859;24.344803;0.110255;0.060936;128.700151;19.049979;0.051659;48544.416123;22745.012273
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 60; 112.380758;28.215916;0.446135;0.086639;128.700151;19.049979;0.051659;182884.210911;21176.588044
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 61; 93.030251;5.896318;0.186636;0.120754;128.700151;19.049979;0.051659;65486.687205;18126.109759
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 62; 127.336041;32.930357;0.210888;0.146391;128.700151;19.049979;0.051659;87420.071628;21414.382833
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 63; 138.349299;30.662941;0.212642;0.147429;128.700151;19.049979;0.051659;83199.383482;20212.356772
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 64; 118.052058;30.713257;0.353156;0.080721;128.700151;19.049979;0.051659;120203.033182;17583.094194
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 65; 117.369672;30.516505;0.323051;0.079754;128.700151;19.049979;0.051659;112996.435416;18069.249597
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 66; 115.820371;31.145635;0.369085;0.089881;128.700151;19.049979;0.051659;120419.944130;16854.595312
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 67; 107.300031;27.086902;0.307659;0.086893;128.700151;19.049979;0.051659;100003.895176;16791.652968
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 68; 108.831094;28.070286;0.259244;0.081204;128.700151;19.049979;0.051659;80813.988082;16103.646348
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 69; 117.498269;29.364198;0.323345;0.074639;128.700151;19.049979;0.051659;107103.033896;17111.241349
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 70; 124.329536;26.035014;0.224640;0.060814;128.700151;19.049979;0.051659;72464.855667;16664.310220
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 71; 121.229832;25.822596;0.252538;0.063167;128.700151;19.049979;0.051659;75798.984270;15505.402720
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 72; 121.203137;20.230140;0.194244;0.069070;128.700151;19.049979;0.051659;57620.920151;15324.218305
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 73; 143.574179;19.095164;0.055494;0.129235;128.700151;19.049979;0.051659;20791.737187;19354.753694
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 74; 168.979802;9.180092;0.123703;0.146058;128.700151;19.049979;0.051659;46107.893078;19254.899391
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 75; 176.651475;1.026254;0.269032;0.113562;128.700151;19.049979;0.051659;123472.864089;23709.081722
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 76; 141.207099;24.431837;0.333473;0.093385;128.700151;19.049979;0.051659;126481.782424;19593.554411
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 77; 142.891772;24.925217;0.373908;0.101599;128.700151;19.049979;0.051659;146561.755518;20248.963878
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 78; 145.350020;23.212832;0.283397;0.099309;128.700151;19.049979;0.051659;114939.819516;20951.845864
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 79; 156.254200;9.726782;0.134614;0.077762;128.700151;19.049979;0.051659;48309.202052;18539.003764
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 80; 153.549913;11.382922;0.152967;0.071323;128.700151;19.049979;0.051659;50985.470223;17218.546125
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 81; 152.360932;16.630634;0.128175;0.083619;128.700151;19.049979;0.051659;40951.932626;16505.037548
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 82; 169.805050;7.312513;0.071916;0.084526;128.700151;19.049979;0.051659;24638.886676;17698.822465
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 83; 149.067836;16.777109;0.069198;0.128677;128.700151;19.049979;0.051659;29692.617059;22166.847860
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 84; 137.000000;0.000000;0.064417;0.086162;128.700151;19.049979;0.051659;24112.090825;19336.739963
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 85; 156.549079;13.680657;0.212919;0.093330;128.700151;19.049979;0.051659;81060.359344;19667.081836
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 86; 115.480719;28.640674;0.261304;0.098715;128.700151;19.049979;0.051659;102129.142842;20190.613519
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 87; 122.265390;27.232592;0.332781;0.090422;128.700151;19.049979;0.051659;131790.509375;20458.407686
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 88; 137.000000;0.000000;0.058876;0.152226;128.700151;19.049979;0.051659;23938.987527;21004.568714
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 89; 137.000000;0.000000;0.057202;0.168108;128.700151;19.049979;0.051659;23874.202843;21560.826160
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 90; 137.000000;0.000000;0.060766;0.155072;128.700151;19.049979;0.051659;23997.486332;20400.961961
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 91; 169.744650;6.635271;0.043516;0.174258;128.700151;19.049979;0.051659;15978.866177;18968.789488
